map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:39:25.488] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:39:26.470] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:39:26.470] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:39:26.470] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:39:35.472] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:39:35.472] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:39:35.472] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:39:44.530] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:39:44.530] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:39:44.530] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:39:53.536] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:39:53.536] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:39:53.536] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:40:02.583] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:40:02.583] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:40:02.583] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:40:11.633] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:40:11.633] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:40:11.633] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (1ms) Revolution vendor policy refuses this NPC purchase
[15:40:20.641] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:40:20.641] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:40:20.641] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:40:29.690] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:40:29.690] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:40:29.690] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:40:46.728] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:40:47.771] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:40:47.771] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:40:47.771] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
